street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Mariahilfer Straße,118.0,7,,1865.0,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.342373551823677 48.196585187223654)
Rochusgasse,9.0,3,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.3898390119192 48.20128032042293)
Franzensbrückenstraße,10.0,2,,,,9.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,nach 1945,POINT (16.39065879479044 48.21634402647893)
Zehenthofgasse,16.0,19,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.345861069732795 48.24616274387281)
Pyrkergasse,22.0,19,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.35301991218552 48.241138333604866)
Breitenleer Straße,234.0,22,,,,0.0,keine Angabe,Keine Angabe,Nach 1976,POINT (16.49519905709008 48.251065287337326)
Wagramer Straße,97.0,22,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.438859845453557 48.24567597122077)
Hadikgasse,154.0,14,,1903.0,Karl Krepp,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.291060120243667 48.19090529221097)
Hasenhutgasse,5.0,12,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.319107855140512 48.173939257080775)
Linke Wienzeile,142.0,6,,,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.350591836419053 48.18996712887295)
Oskar-Grissemann-Straße,35.0,21,,,,1.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.442863429647876 48.262491941986816)
Hardtgasse,32.0,19,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.35269516988839 48.23651085433083)
Breitenfurter Straße,32.0,12,,,,0.0,keine Angabe,Keine Angabe,1848 -1918,POINT (16.318098232826046 48.16704323638705)
Czartoryskigasse,41.0,18,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.323124489555603 48.22892835123871)
Budinskygasse,6.0,19,,1930.0,,,keine Angabe,Keine Angabe,1919-1945,POINT (16.33694542333358 48.24197296801517)
Wankläckergasse,2.0,21,Volksheim Großjedlersdorf,1962.0,Bauer Harald,,keine Angabe,Keine Angabe,1946-1976,POINT (16.412145796095068 48.27564649286745)
Zollergasse,14.0,7,,,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.350737117618802 48.20046716828713)
Rosaliagasse,16.0,12,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.33366526796564 48.17948304334203)
Himmelhofgasse,9.0,13,,1956.0,,,keine Angabe,Keine Angabe,1946-1976,POINT (16.260716594763533 48.18915971928131)
Unter-Meidlinger Straße,67.0,12,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.337805178152262 48.17143345022337)
Grundsteingasse,36.0,16,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.33451912288364 48.21025855848551)
Wollzeile,24.0,1,Z. roten Mann,1898.0,,6.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.376834514967662 48.20809685933575)
Urbangasse,1.0,17,,,,1.0,betriebliche Nutzung,10.-Kaufhäuser,nach 1945,POINT (16.309901299052132 48.22513744374574)
Gustav-Tschermak-Gasse,11.0,18,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.339217091416778 48.23314235218342)
Währinger Straße,5.0,9,,1884.0,Fellner und Helmer Hermann,6.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.359325822534984 48.216885576042344)
Tanbruckgasse,11.0,12,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.329247675936298 48.17654620208365)
Martinstraße,97.0,18,,,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.342135925632512 48.227021924319075)
Blumauergasse,9.0,2,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.383583081945815 48.21869592000199)
Benjowskigasse,31.0,22,,,,3.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.48709720863496 48.21566285210341)
Rosiwalgasse,40.0,10,,,,1.0,betriebliche Nutzung,W1.1.-bäuerl.dom.Baustrukt.-Streck- u. Hakenhof,vor 1848,POINT (16.381042825314328 48.13793110677609)
Alxingergasse,89.0,10,,1925.0,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.366880886454823 48.17000472485977)
Brünner Straße,163.0,21,,,,3.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.40971071772759 48.27865573318311)
Hungerbergstraße,12.0,19,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.34312782413048 48.25029637756597)
Rennweg,2.0,3,"Palais Schwarzenberg, ehem. Personalunterkünfte",,,2.0,betriebliche Nutzung,W2.5.-Bürgerhaus-Paläste,vor 1848,POINT (16.378338484557425 48.19618604346582)
Hietzinger Hauptstraße,140.0,13,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.271394704943802 48.18794350589857)
Spittelauer Lände,15.0,9,,,,6.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.3614860930611 48.22900704994121)
Wasagasse,29.0,9,,1846.0,Hoppe Anton,4.0,Wohnnutzung,W2.3.-Bürgerhaus-Haus mit mittig liegendem Hof,1781-1848,POINT (16.359113262473436 48.21911530394133)
Rosa-Luxemburg-Gasse,1.0,16,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.305001991578983 48.22115565293424)
Mauerbachstraße,43.0,14,Hadersdorfer Schloß,1689.0,Schellerer Andreas,,keine Angabe,Keine Angabe,1683-1740,POINT (16.221641964775095 48.21448557241939)
Seeböckgasse,6.0,16,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.31881708289243 48.217694561600524)
Neulerchenfelder Straße,56.0,16,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.332327877313876 48.211649487541294)
Rokitanskygasse,49.0,17,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.330843853191418 48.22505667734713)
Tautenhayngasse,2.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1919 - 1945,POINT (16.31850891489588 48.2004523561117)
Bürgergasse,1.0,10,,,,7.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,nach 1945,POINT (16.379459379590706 48.17336649615272)
Paletzgasse,17.0,16,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,1919 - 1945,POINT (16.317383864500613 48.2207969018555)
Penzinger Straße,53.0,14,,,,2.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.30611951288556 48.18963550710901)
Urbangasse,16.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.308549236922364 48.22385451793675)
Schottenfeldgasse,94.0,7,Betsabeebad,,,6.0,Sonstige,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.34348197321774 48.207114844980104)
Siebenhirtenstraße,12.0,23,,1917.0,Gessner Hubert Johann,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.290262567892395 48.13388318601513)
Sobieskigasse,5.0,9,,1875.0,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.353267540868657 48.22635117106968)
Deinhardsteingasse,1.0,16,,,,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.32806744949688 48.210342643355496)
Hainburger Straße,68.0,3,,1926.0,H. Schmid und H. Aichinger,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.401586833075463 48.19624971159114)
Schönbrunner Allee,36.0,12,,,,3.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.311408659614166 48.17180717207229)
Glanzinggasse,80.0,19,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.320612662186356 48.24344329572837)
Wassergasse,6.0,3,Foyer,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.397064711848994 48.2027775979672)
Straße der Menschenrechte,1.0,22,Internationales Schulzentrum,1982.0,Bohrn und Schirnhofer,,keine Angabe,Keine Angabe,Nach 1976,POINT (16.431890667288403 48.244769899785055)
Döblinger Hauptstraße,95.0,19,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.35532567924962 48.244235218100044)
Sieveringer Straße,99.0,19,Dreikugelschachingerhaus,,,1.0,betriebliche Nutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,Vor 1683,POINT (16.32917453763689 48.24800267581699)
Märzstraße,,14,,1930.0,,1.0,öffentliche Einrichtung,7.-Bauten der Freizeit und Erholung,1919-1945,POINT (16.311502333713406 48.19630500708856)
Hüttelbergstraße,6.0,14,,1897.0,,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.25759003633672 48.203129703428075)
Jedleseer Straße,66.0,21,Karl-Seitz-Hof,1926.0,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.389084892393548 48.262369654432945)
Yppengasse,1.0,16,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.335559284908 48.21403230073869)
Marokkanergasse,14.0,3,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.380213281890253 48.198330766578245)
Buchleitengasse,14.0,18,,,,1.0,Sonstige,8.-Gartenanlagen,nach 1945,POINT (16.31099410597674 48.237889662408605)
Versorgungsheimplatz,1.0,13,,,,3.0,öffentliche Einrichtung,"W6.2.-Sonderwohnbauten-Heim,Pflegeanstalt,Spitalsbauten",1848 -1918,POINT (16.273021503838976 48.17162658000885)
Clessgasse,105.0,21,,,,1.0,Wohnnutzung,"W1.4.-bäuerl.dom.Baustrukt.-Wohn-u.Wirtschaftsbauten,modern",nach 1945,POINT (16.414985389663368 48.3026517399951)
Sieveringer Straße,233.0,19,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.315040045193506 48.25490958159547)
Linzer Straße,67.0,14,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.311574617096525 48.1931045078154)
Simmeringer Hauptstraße,89.0,11,,,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.413972620367563 48.17677168603873)
Redtenbachergasse,22.0,16,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.315589172617546 48.21567172777679)
Brünner Straße,34.0,21,Schlingerhof,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.401388900172453 48.26204928979231)
Nothartgasse,52.0,13,"Wh-Anlage ""Roter Berg""",1948.0,,0.0,keine Angabe,Keine Angabe,1946-1976,POINT (16.275628960475558 48.181946500382324)
Egon-Schiele-Gasse,61.0,13,Siedlung Lockerwiese,1929.0,Karl Schartelmüller,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.279697884031865 48.174509788506626)
Hardtmuthgasse,53.0,10,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.37016669567138 48.17018951022975)
Hütteldorfer Straße,220.0,14,,,,,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.279032542305366 48.19804579784139)
Traisengasse,18.0,20,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.388977628588194 48.236049524594094)
Lassallestraße,46.0,2,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.402919845920465 48.22428215181804)
Beingasse,17.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.332561961904023 48.198648079896124)
Kulmgasse,3.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.321274164394424 48.215431315176744)
Spohrstraße,53.0,13,,,,0.0,Sonstige,Keine Angabe,Keine Angabe,POINT (16.281261082115403 48.186848493947195)
Salisstraße,5.0,14,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.28483650027869 48.19785670826464)
Mühlschüttelgasse,55.0,21,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.410714588163504 48.249958540418156)
Hütteldorfer Straße,150.0,14,Somogyi-Hof,1927.0,Heinrich Schmid und Hermann Aichinger,3.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.290604432346104 48.198502513272196)
KLG ÖBB Maxing 12,8.0,12,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.306974589655884 48.170037424708)
Peter-Jordan-Straße,117.0,18,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.326157620381547 48.238192709126416)
Antonigasse,46.0,18,,,,4.0,betriebliche Nutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33713366778677 48.222728546188684)
Firmiangasse,37.0,13,,,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.26788585539988 48.19065635888621)
Tanbruckgasse,16.0,12,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.328472988690184 48.17691190934072)
Tuchlauben,18.0,1,,1895.0,Dehm Ferdinand und Olbricht Franz,6.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.371437176738514 48.21068833059149)
Gymnasiumstraße,8.0,18,,1883.0,unleserlich,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.342834050721702 48.227958346577395)
Thomas-Morus-Gasse,23.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.277417302579597 48.171980096878016)
Daringergasse,12.0,19,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.3399062553179 48.24726151813317)
Telekygasse,15.0,19,,,,1.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.337191744789397 48.23923085881696)
Herbststraße,101.0,16,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.315812374620567 48.20692883336761)
Brunnengasse,7.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.334557905693618 48.204806778496334)
Ratschkygasse,17.0,12,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.327169877014004 48.177117850914044)
Führichgasse,6.0,1,Haus Gomperz,1877.0,Thienemann Otto,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.369958411370614 48.20488976663064)
Mohsgasse,3.0,3,,1903.0,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.385171559696076 48.189936084936015)
Fasangartengasse,13.0,13,,,,1.0,Wohnnutzung,W1.1.-bäuerl.dom.Baustrukt.-Streck- u. Hakenhof,vor 1848,POINT (16.28603517971551 48.17578095634399)
Ernst-Ludwig-Gasse,17.0,10,,,,4.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,Keine Angabe,POINT (16.358649414104928 48.16452441575327)
Dr.-Nekowitsch-Straße,71.0,21,,,,2.0,Wohnnutzung,"W1.4.-bäuerl.dom.Baustrukt.-Wohn-u.Wirtschaftsbauten,modern",nach 1945,POINT (16.404606532448962 48.301056271875545)
Wattgasse,96.0,17,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.32266418922017 48.22318128882147)
Spittelauer Lände,29.0,9,,,,2.0,betriebliche Nutzung,W2.1.-Bürgerhaus-kleine Haustypen ohne Hof,1849-1859,POINT (16.361662791037805 48.230298971982805)
Klopstockgasse,46.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.32386090577228 48.2192431207853)
Binagasse,10.0,23,,1933.0,Hornek Hans,,keine Angabe,Keine Angabe,1919-1945,POINT (16.277783457968553 48.14585951873682)
Elisabethallee,6.0,12,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1848 -1918,POINT (16.303616273734995 48.17071776470825)
Brigittaplatz,9.0,20,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.370617120861763 48.232975254542005)
Beckmanngasse,1.0,14,,1907.0,Hans Mi¿ka,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.311471602894706 48.18998661719461)
Palffygasse,6.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.337348828858673 48.215527057090846)
Währinger Gürtel,127.0,18,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.350081680135727 48.23055043138682)
Gymnasiumstraße,42.0,18,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.345925633378254 48.231010861939325)
Anzbachgasse,78.0,14,,1938.0,,,keine Angabe,Keine Angabe,1919-1945,POINT (16.2463651420786 48.20776271092188)
Kobelgasse,13.0,11,,,,3.0,öffentliche Einrichtung,2.-Bauten des Kultus,1848 -1918,POINT (16.421906014655857 48.169996891792856)
Bäuerlegasse,25.0,20,,,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.374871391762678 48.23040490712517)
Koschatgasse,44.0,19,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.324587852551208 48.24146922388706)
Alliogasse,8.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.32886497251241 48.20146206805904)
Hackhofergasse,4.0,19,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.36565788688839 48.260180763376674)
Boschstraße,15.0,19,Karl-Marx-Hof,1927.0,Karl Ehn,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.364559689440128 48.250201615587166)
Windmühlgasse,17.0,6,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.356235756251444 48.19866130634197)
Schloß Schönbrunn,66.0,13,Kavaliertrakt,,,2.0,betriebliche Nutzung,4.-Bauten der öffentl.u.privaten Repräsentation u.Verwaltung,1683-1740,POINT (16.311605216470035 48.18535449125914)
Pohlgasse,16.0,12,,,,5.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.327310541566092 48.17859059931382)
Vivenotgasse,56.0,12,,,,2.0,betriebliche Nutzung,12.-Gewerbebetriebe,1919 - 1945,POINT (16.331385371195548 48.17626302224525)
Hütteldorfer Straße,134.0,14,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.29590325056188 48.197494908852924)
Endresstraße,113.0,23,,,,1.0,öffentliche Einrichtung,W2.5.-Bürgerhaus-Paläste,1848 -1918,POINT (16.269891501723798 48.15035630569665)
Penzinger Straße,18.0,14,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.312351782533835 48.190205068781175)
Lehmanngasse,23.0,23,,,,0.0,keine Angabe,Keine Angabe,1860-1883,POINT (16.278441565135136 48.1363488690094)
Pülslgasse,8.0,23,,1903.0,Bauer Leonhard,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.27845885350712 48.13506822684375)
Haebergasse,1.0,12,,,,3.0,öffentliche Einrichtung,6.-Bauten der öffentlichen und privaten Wirtschaft,1848 -1918,POINT (16.338592499897036 48.185352045302956)
Linzer Straße,182.0,14,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.289832808638856 48.194795551877824)
Veitingergasse,50.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.275316295286068 48.17990801220012)
Löhnergasse,17.0,12,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.315084127280453 48.17304313035972)
Seegasse,10.0,9,,1861.0,,3.0,Sonstige,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.36299748382317 48.22305393306714)
Juchgasse,36.0,3,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.388381478646675 48.196707662456895)
Czartoryskigasse,47.0,18,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1919 - 1945,POINT (16.322565078721063 48.22899924284733)
Ketzergasse,52.0,23,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.311768505547807 48.127391887920496)
Schindlergasse,17.0,18,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.32605368651917 48.229991010410245)
Humboldtgasse,38.0,10,,,,0.0,betriebliche Nutzung,Keine Angabe,nach 1945,POINT (16.377686949363664 48.178773365190146)
Hauptstraße,69.0,14,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.21890243004846 48.20983304912591)
Nelkengasse,3.0,6,,1835.0,,3.0,betriebliche Nutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1781-1848,POINT (16.351911837947902 48.198459003831296)
Davidgasse,31.0,10,,,,1.0,betriebliche Nutzung,12.-Gewerbebetriebe,Keine Angabe,POINT (16.36917042906098 48.17349186244269)
Kühnplatz,2.0,4,Otto-Wagner-Gelände,1914.0,Richter Otto und Ramsauer Leopold,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.365440981033117 48.19806622422338)
Ober-Laaer Straße,36.0,10,,,,1.0,Sonstige,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,vor 1848,POINT (16.402865079943915 48.13756985879173)
Sigmundsgasse,2.0,7,,1839.0,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1781-1848,POINT (16.353758960237304 48.20250865766648)
Schirnböckgasse,19.0,13,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.278864323754462 48.175052300157205)
Am Tabor,20.0,2,,,,5.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.386967589362854 48.22361456303571)
Felixgasse,25.0,13,,1957.0,,0.0,keine Angabe,Keine Angabe,1946-1976,POINT (16.267727725366022 48.160402357440226)
Hufelandgasse,2.0,12,,,,3.0,öffentliche Einrichtung,4.-Bauten der öffentl.u.privaten Repräsentation u.Verwaltung,1848 -1918,POINT (16.329334816823213 48.18257430287002)
Versorgungsheimplatz,1.0,13,,,,3.0,öffentliche Einrichtung,"W6.2.-Sonderwohnbauten-Heim,Pflegeanstalt,Spitalsbauten",1848 -1918,POINT (16.273894157100475 48.17255920902133)
Ospelgasse,34.0,20,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.38874752443113 48.232068709241)
