street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Gschwandnergasse,31.0,17,,,,2.0,betriebliche Nutzung,12.-Gewerbebetriebe,1848 -1918,POINT (16.324647037871124 48.218241089330064)
Theergasse,3.0,12,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.32182310557044 48.176578702773924)
Muhrengasse,31.0,10,,,,0.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.37332436457201 48.17180993015663)
Hollergasse,45.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.32390126341408 48.18935296875065)
Brünnlbadgasse,1.0,9,,1870.0,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.3456330063339 48.21575347962075)
Bergsteiggasse,10.0,17,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.334626610919962 48.2154382907237)
Fröbelgasse,44.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.331907099513355 48.208734591397274)
Karl-Walther-Gasse,8.0,15,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.337317934887004 48.18879899958227)
Gottfried-Keller-Gasse,1.0,3,,,,6.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,Keine Angabe,POINT (16.382685217394247 48.20132606771449)
Vormosergasse,7.0,19,Pfarrgemeindehaus Döbling - St. Paul,1878.0,,2.0,Sonstige,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.350351668253666 48.242116881405)
Kroneggergasse,7.0,19,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.33438478943282 48.24742695109198)
Greinergasse,21.0,19,,,,2.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.364769611287656 48.25742755820667)
Floridusgasse,20.0,21,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.407067887941963 48.25102635684868)
Scheibenbergstraße,49.0,18,,1911.0,Rudolf Krausz,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.31700118353937 48.23581267578337)
Dommesgasse,9.0,11,,,,5.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.415776088865993 48.171429165282035)
Schwindgasse,4.0,4,,1880.0,Rumpelmayer Viktor,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.374357130755826 48.197758195091986)
