addr_street,addr_number,addr_building,addr_letter,addr_district,comm_type,comm_num,comm_room_num,data_series,data_buildingdate,data_reconstructiondate,data_buildingarea,data_livingarea,data_nonolivingarea,data_stairs,data_storeys,data_residents,data_mansardarea,eng_heatingcentral,eng_heatingauto,eng_heatingfire,eng_hotwater,eng_hotwatergas,eng_hotwaterwood,eng_electro,eng_gascentral,eng_gasnoncentral,eng_refusechute,flat_type,flat_num,flat_room_num,internal_num,lift_exploitfromdate,lift_reconstructiondate,lift_repairdate,outclean_all,param_crdate,param_ukname,param_failure,repair_year,repair_job,rfc_shaftcount,roof_metalarea,seng_liftcount,seng_pzu,special_basementarea,number,address,coordinates
Козлова ул.,51,1,А,Кировский,"2 комн., 3 комн.","1, 5","2, 15",ЛГ504-3,1969,,7456.98,6888.18,,7,5,345,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн.","103, 29, 1","206, 87, 4",,,,,4202.0,10.02.2012,"ОАО ""Сити Сервис""",0.0,2001; 2013; 2013,Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения,,,,7,1423.0,17182,"г.Санкт-Петербург, улица Козлова, дом 51, корпус 1, литера А","59.827605639,30.229603426"
Большеохтинский пр.,22,1,А,Красногвардейский,"2 комн., 3 комн., 4 комн., 7 комн.","4, 18, 4, 5","8, 54, 16, 45",Индивидуальный,1960,,7252.8,5813.3,57.0,3,5,388,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","2, 5, 8, 1","2, 10, 24, 4",8,,,,5880.0,10.02.2012,"ООО ""Жилкомсервис  №1 Красногвардейского района""",0.0,2017; 2017; 2017,Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения,,1772.0,,3,1449.8,17183,"г.Санкт-Петербург, Большеохтинский проспект, дом 22, корпус 1, литера А","59.958394005,30.410392225"
Старо-Петергофский пр.,35А,,А,Адмиралтейский,"2 комн., 3 комн.","1, 1","2, 3",индивидуальная,1917,,596.0,381.4,126.6,1,3,20,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн.","3, 3","3, 6",1,,,,115.0,12.04.2009,"ООО ""СТИЛЕС""",0.0,2006; 2007; 2007; 2007; 2007; 2019,Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш,,327.0,,1,117.19,17184,"г.Санкт-Петербург, Старо-Петергофский проспект, дом 35а, литера А","59.903834869,30.27738471"
Ефимова ул.,1/4,,А,Адмиралтейский,3 комн.,1,3,Индивидуальный,1874,2000,9412.2,3950.32,4590.88,9,5,58,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн.","3, 18, 15, 7, 1, 1","3, 36, 45, 28, 5, 6",36,,,,1356.0,12.04.2009,"ТСЖ ""ПИТЕР""",0.0,2001; 2001; 2001; 2008; 2014,Ремонт или замена системы газоснабжения; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт или замена системы электроснабжения; Ремонт фасадов без утепления,,3108.0,,6,1429.5,17185,"г.Санкт-Петербург, улица Ефимова, дом 1/4, литера А","59.926153722,30.318794475"
Подольская ул.,38,,А,Адмиралтейский,"3 комн., 4 комн., 5 комн., 6 комн., 7 комн.","1, 3, 5, 1, 6","3, 12, 25, 6, 42",Индивидуальный,1911,,5473.0,3865.1,1007.9,5,6,220,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн., 5 комн.","2, 8, 4, 3, 1","2, 16, 12, 12, 5",3,1982,,,230.0,12.04.2009,"ООО ""Жилкомсервис Адмиралтейского района""",0.0,2003; 2003; 2004; 2004; 2006; 2007; 2007; 2009; 2009; 2009; 2009; 2019,Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения; Ремонт  (замена)изношенных внутриквартальных   инженерных наружных сетей  (вторичные сети)  с присоединением к существующим   магистральным сетям при расстоянии от ввода до точки подключения к магистралям до 150 м; Ремонт или восстановление ОДС; Ремонт или замена системы электроснабжения; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы газоснабжения,,2012.0,2,4,580.0,17186,"г.Санкт-Петербург, Подольская улица, дом 38, литера А","59.913770521,30.327010822"
Серебристый бульвар,5,1,А,Приморский,"2 комн., 3 комн., 4 комн.","9, 15, 1","18, 45, 4",ЛГ - 600 А-8,1974,,16107.0,14571.0,60.8,8,9,813,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн.","44, 90, 128","44, 180, 384",,1974,2005 6 лифтов,2005 6 лифтов,5908.0,13.04.2009,"ООО ""Жилкомсервис №3 Приморского района""",0.0,2002; 2005; 2005,Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов,8,,8,8,2186.2,17187,"г.Санкт-Петербург, Серебристый бульвар, дом 5, корпус 1, литера А","59.99702817,30.284499848"
Каменноостровский пр.,22,,А,Петроградский,3 комн.,3,9,Инд.,1932,,1610.6,1066.1,387.5,2,5,38,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн.","2, 9, 2","4, 27, 8",3,,,,1896.0,13.04.2009,"ООО ""Жилкомсервис № 1 Петроградского района""",0.0,2001; 2003; 2007; 2007; 2011,АВКР; Ремонт фасадов без утепления; Благоустройство придомовой территории; Ремонт или замена системы отопления; Ремонт конструкций и замена покрытий крыш,,480.0,,2,183.0,17188,"г.Санкт-Петербург, Каменноостровский проспект, дом 22, литера А","59.960749426,30.316093882"
Партизана Германа ул.,37,,"А (п1-2, 4-5)",Красносельский,"5 комн., 7 комн.","1, 45","5, 315",Индивидуальный,1972,,14822.5,8859.7,4229.4,4,9,536,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"2 комн., 3 комн., 4 комн.","1, 1, 1","2, 3, 4",25,1972,,,3530.0,13.04.2009,"ООО ""Жилкомсервис № 1 Красносельского района""",0.0,2006; 2006; 2007; 2007; 2007; 2008; 2009; 2009; 2010; 2010,Расходы на изготовление проектно-сметной документации; Ремонт или замена системы электроснабжения; Благоустройство придомовой территории; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС,4,,4,3,1042.1,17189,"г.Санкт-Петербург, улица Партизана Германа, дом 37, литера А","59.828704443,30.174002836"
Свеаборгская ул.,19,,А,Московский,2 комн.,3,6,Индивидуальный,1953,,5021.4,4309.4,163.0,5,6,159,,0.0,1,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","1, 42, 17, 2","1, 84, 51, 8",5,1967,2013,,1962.0,14.12.2009,"ООО  ""Жилкомсервис № 2 Московского района""",0.0,2008; 2008; 2013,Ремонт или восстановление ОДС; Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов,,1462.0,5,5,650.0,17190,"г.Санкт-Петербург, Свеаборгская улица, дом 19, литера А","59.873462314,30.331836827"
Боровая ул.,58,,В,Фрунзенский,2 комн.,1,2,Индивидуальный проект,1917,1983,1562.7,1164.8,,6,4,94,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн.","24, 6","24, 12",,,,,,16.03.2010,"ООО ""Жилкомсервис № 1 Фрунзенского района""",0.0,,,,541.0,,5,370.4,17191,"г.Санкт-Петербург, Боровая улица, дом 58, литера В","59.913493146,30.34458352"
