addr_street,addr_number,addr_building,addr_letter,addr_district,comm_type,comm_num,comm_room_num,data_series,data_buildingdate,data_reconstructiondate,data_buildingarea,data_livingarea,data_nonolivingarea,data_stairs,data_storeys,data_residents,data_mansardarea,eng_heatingcentral,eng_heatingauto,eng_heatingfire,eng_hotwater,eng_hotwatergas,eng_hotwaterwood,eng_electro,eng_gascentral,eng_gasnoncentral,eng_refusechute,flat_type,flat_num,flat_room_num,internal_num,lift_exploitfromdate,lift_reconstructiondate,lift_repairdate,outclean_all,param_crdate,param_ukname,param_failure,repair_year,repair_job,rfc_shaftcount,roof_metalarea,seng_liftcount,seng_pzu,special_basementarea,number,address,coordinates
Полевая ул.,36,,А,Приморский,,,,,1916,,78.1,78.1,,0,1,5,,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,"2 комн., 3 комн.","1, 1","2, 3",,,,,,30.01.2014,"ООО ""ЖКС ""Пригородный""",0.0,2004,Ремонт конструкций и замена покрытий крыш,,,,,,5719,"Санкт-Петербург, муниципальный округ Лахта - Ольгино, территория Ольгино, Полевая улица, дом 36, литера А","60.001825861,30.141198324"
Маршала Казакова ул.,82,1,стр. 1,Красносельский,,,,Индивидуальный,2016,,47779.8,38062.1,331.2,6,26,,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,"1 комн., 2 комн., 3 комн.","569, 162, 112","569, 324, 336",4,2016,,,,,"ООО ""УК ""Комфорт Сервис""",0.0,,,,,14,,,5720,"г.Санкт-Петербург, улица Маршала Казакова, дом 82, корпус 1, строение 1","59.869818459,30.161509529"
Пограничника Гарькавого ул.,18,1,А,Красносельский,,,,1-528КП,1963,,1418.6,1296.5,,2,4,91,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн.","8, 24","8, 48",,,,,646.0,13.04.2009,"ООО ""Жилкомсервис № 2 Красносельского района""",0.0,1993; 1995; 1997; 2004; 2007; 2007; 2007; 2008; 2008,Ремонт подвальных помещений; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Асфальтирование и замощение придомовой территории; Ремонт балконов; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Ремонт и восстановление озеленения,,572.0,,2,342.3,5721,"г.Санкт-Петербург, улица Пограничника Гарькавого, дом 18, корпус 1, литера А","59.840106756,30.147202674"
Руднева ул.,22,2,А,Выборгский,,,,Индивидуальный,2004,,11092.6,8712.4,2130.2,7,5,278,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","92, 38, 25, 1","92, 76, 75, 4",,"041747, 041742, 041744, 041748, 041743, 041745, 041746 - 2004 г.",,,,31.10.2013,"ТСЖ ""Авангард-1""",0.0,,,7,,7,,1790.9,5722,"г.Санкт-Петербург, улица Руднева, дом 22, корпус 2, литера А","60.049211303,30.365658634"
"пос. Комарово, 2-я Дачная ул.",39а,,Б,Курортный,,,,,1974,,267.2,222.9,,,1,18,,0.0,1,0.0,0.0,0.0,0.0,1,0.0,1,0.0,"2 комн., 3 комн.","2, 2","4, 6",,,,,,,"ООО ""ЖКС Курортного района""",0.0,,,,,,,,5723,"Санкт-Петербург, посёлок Комарово, 2-я Дачная улица, дом 39а, литера Б","60.195051865,29.819482452"
"г. Пушкин, Красной Звезды ул.",22,,А,Пушкинский,"2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.","0, 2, 1, 0, 0, 0","0, 6, 4, 0, 0, 0",Индивидуальный,до 1917,1966,550.54,509.54,,1,3,22,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.","0, 0, 1, 2, 0, 0, 0","0, 0, 3, 8, 0, 0, 0",,,,,1444.0,05.03.2009,"ООО ""Жилкомсервис № 1 Пушкинского района""",0.0,2005; 2005; 2011; 2012,Благоустройство придомовой территории; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации,,316.0,,1,,5724,"Санкт-Петербург, город Пушкин, улица Красной Звезды, дом 22, литера А","59.708409025,30.406313531"
Тамбовская ул.,26,,Б,Фрунзенский,3 комн.,1,3,Инд.,1912,,1224.3,945.0,153.1,1,6,10,,0.0,1,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","1, 4, 9","1, 8, 27",2,,,,1124.0,05.03.2009,"ООО ""Жилкомсервис № 1 Фрунзенского района""",0.0,2004; 2014; 2014; 2015; 2015; 2017,Ремонт фасадов без утепления; Расходы на изготовление проектно-сметной документации; Расходы на изготовление проектно-сметной документации; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш,,343.9,,,153.0,5725,"г.Санкт-Петербург, Тамбовская улица, дом 26, литера Б","59.911910537,30.354408597"
"г. Пушкин, Красносельское шоссе",37,,А,Пушкинский,"3 комн., 4 комн.","2, 14","6, 56",Индивидуальный,1936,,2565.31,2201.31,,3,4,90,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"3 комн., 4 комн.","3, 5","9, 20",,,,,6533.0,05.03.2009,"ООО ""Жилкомсервис № 1 Пушкинского района""",0.0,2003; 2007; 2007; 2007; 2010,Ремонт конструкций и замена покрытий крыш; Прочие работы по благоустройству; Ремонт и восстановление озеленения; Ремонт фасадов без утепления; Расходы на изготовление проектно-сметной документации,,1084.0,,3,738.0,5726,"Санкт-Петербург, город Пушкин, Красносельское шоссе, дом 37, литера А","59.704629553,30.368365211"
Свеаборгская ул.,9,,А,Московский,"2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.","0, 1, 0, 0, 0, 0","0, 3, 0, 0, 0, 0",Индивидуальный,1938,,2488.0,1877.0,343.0,3,4,64,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.","0, 0, 23, 0, 0, 0, 0","0, 0, 69, 0, 0, 0, 0",3,,,,3548.0,05.03.2009,"ООО ""Жилкомсервис № 2 Московского района""",0.0,2008; 2008; 2018; 2018,Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения,,821.0,,3,70.0,5727,"г.Санкт-Петербург, Свеаборгская улица, дом 9, литера А","59.87514925,30.333409376"
Новоизмайловский пр.,1,,А,Московский,"2 комн., 3 комн.","2, 2","4, 6",1 - 527,1960,,4549.0,4138.7,,5,5,208,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","25, 63, 8","25, 126, 24",,,,,1810.0,07.12.2008,"ООО ""Жилкомсервис № 2 Московского района""",0.0,2007; 2008; 2008,Ремонт или замена системы отопления; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей),,1364.0,,5,830.0,5728,"г.Санкт-Петербург, Новоизмайловский проспект, дом 1, литера А","59.874869055,30.304753163"
Московский пр.,145а,,А,Московский,"2 комн., 3 комн., 4 комн.","0, 1, 1","0, 3, 4",Индивидуальный,1953,,4449.5,3404.7,496.8,4,5,102,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","4, 28, 19, 3","4, 56, 57, 12",15,"1979г. - 3 лифта,  1983г. - 1 лифт",,,4632.0,07.12.2008,"ООО ""Жилкомсервис № 2 Московского района""",0.0,2006; 2010; 2018,Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов,,1301.0,4,4,250.0,5729,"г.Санкт-Петербург, Московский проспект, дом 145а, литера А","59.877341362,30.317488088"
"г. Ломоносов, Ломоносова ул.",12а,,А,Петродворцовый,3 комн.,2,6,Индивидуальный,1955,,450.7,396.9,,2,2,30,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","4, 2","8, 6",,,,,2267.0,10.02.2012,"ООО ""ЖКС г. Ломоносова""",0.0,2009; 2009; 2009; 2009; 2009; 2010,"Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа; Ремонт конструкций и замена покрытий крыш",,358.0,,,,5730,"Санкт-Петербург, город Ломоносов, улица Ломоносова, дом 12а, литера А","59.91356373,29.774135868"
Большеохтинский пр.,41,,А,Красногвардейский,"3 комн., 7 комн.","2, 6","6, 52",Индивидуальный,1960,,6340.7,4492.7,695.9,3,5,238,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","6, 8, 12","6, 16, 36",8,,,,1558.0,10.02.2012,"ООО ""Жилкомсервис №2 Красногвардейского района""",0.0,2011,Ремонт конструкций и замена покрытий крыш,,1750.0,,3,1119.3,5731,"г.Санкт-Петербург, Большеохтинский проспект, дом 41, литера А","59.958835753,30.411498181"
Гаванская ул,11/16,,А,Василеостровский,"2 комн., 3 комн., 4 комн.","1, 5, 1","2, 15, 4",Инд.,1955,,7391.08,6218.65,267.33,7,6,227,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","7, 31, 35, 8","7, 62, 105, 32",6,1955,,2005 (1 ед.),1205.0,12.04.2009,"ООО ""Жилкомсервис № 1 Василеостровского района""",0.0,2005; 2008; 2008; 2019,Капитальный ремонт лифтов (с заменой крупных узлов); Прочие работы по благоустройству; Ремонт и восстановление озеленения; Ремонт конструкций и замена покрытий крыш,,2220.0,1,6,511.0,5732,"г.Санкт-Петербург, Гаванская улица, дом 11/16, литера А","59.930073676,30.242022459"
Интернациональная ул.,7/22,,А,Кронштадтский,3 комн.,1,3,Индивидуальный,1900,1974,1319.0,868.9,292.1,3,2,44,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","2, 1, 8","2, 2, 24",2,,,,1524.0,12.04.2009,"ООО""Жилкомсервис Кронштадтского района""",0.0,2010; 2010; 2010; 2010; 2010; 2010; 2011,Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления,,1118.0,,3,512.0,5733,"Санкт-Петербург, город Кронштадт, Интернациональная улица, дом 7/22, литера А","59.990651388,29.790087446"
Матюшенко пер.,14,,А,Невский,"2 комн., 3 комн.","2, 2","4, 6",Индивидуальный,1952,,4014.0,2770.85,409.3,2,6,116,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","2, 24, 14","2, 48, 42",,1979,,,4706.0,13.04.2009,"ООО ""Жилкомсервис № 2 Невского района""",0.0,2004; 2011; 2014; 2019,Асфальтирование и замощение придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов,,906.0,2,2,546.0,5734,"г.Санкт-Петербург, переулок Матюшенко, дом 14, литера А","59.875233146,30.439011571"
Петергофское шоссе,15,2,А,Красносельский,3 комн.,3,9,ЛГ - 600 - А,1981,,27367.0,23934.8,15.2,8,15,1527,,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,"1 комн., 2 комн., 3 комн.","116, 120, 237","116, 240, 711",1,"1981 - 8 шт, 1984 - 8 шт.",,,10922.0,13.04.2009,"ООО ""Строитель""",0.0,1996; 2003; 2003; 2006; 2008; 2012; 2012; 2013,Герметизация горизонтальных и вертикальных стыков стеновых панелей; Герметизация горизонтальных и вертикальных стыков стеновых панелей; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или восстановление ОДС; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории,8,,16,8,1596.4,5735,"г.Санкт-Петербург, Петергофское шоссе, дом 15, корпус 2, литера А","59.848310476,30.187520258"
Дальневосточный пр.,68,1,Ц,Невский,"2 комн., 3 комн.","21, 2","42, 6",ОД-6,1963,,4601.4,4131.8,,6,5,238,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","10, 49, 8","10, 98, 24",,,,,3105.0,14.12.2009,"ООО ""Жилкомсервис № 1 Невского района""",0.0,2007; 2007,Асфальтирование и замощение придомовой территории; Ремонт и восстановление озеленения,,,,6,788.0,5736,"г.Санкт-Петербург, Дальневосточный проспект, дом 68, корпус 1, литера Ц","59.880002858,30.47313006"
"г. Пушкин, Алексея Толстого бульвар",7,,А,Пушкинский,2 комн.,1,2,1-528 КП-3,1965,,3777.37,3460.37,,4,5,175,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","10, 60, 10","10, 120, 30",,,,,,14.12.2009,"ООО ""ПолиСтрой""",0.0,2010; 2010; 2010; 2010,Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш,,,,4,710.0,5737,"Санкт-Петербург, город Пушкин, бульвар Алексея Толстого, дом 7, литера А","59.731742091,30.419582789"
Удельный пр.,57,,А,Выборгский,2 комн.,1,2,Индивидуальный,1960,,1767.84,1615.84,,2,5,85,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","20, 9, 10","20, 18, 30",,,,,1055.0,14.12.2009,"ООО ""СТРОИТЕЛЬНЫЕ СИСТЕМЫ""",0.0,2003; 2007; 2009; 2010,Ремонт  (замена)изношенных внутриквартальных   инженерных наружных сетей  (вторичные сети)  с присоединением к существующим   магистральным сетям при расстоянии от ввода до точки подключения к магистралям до 150 м; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы горячего водоснабжения; Ремонт конструкций и замена покрытий крыш,,560.0,,2,531.1,5738,"г.Санкт-Петербург, Удельный проспект, дом 57, литера А","60.025755866,30.311965107"
"г. Зеленогорск, Круглая ул.",7,,А,Курортный,3 комн.,1,3,Индивидуальный,1917,,196.07,196.07,,2,2,,,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,0.0,3 комн.,3,9,,,,,,16.03.2010,,1,1952; 2009; 2012; 2013,АВКР; Расходы на изготовление проектно-сметной документации; Ремонт конструкций и замена покрытий крыш; Обследование мкд,,192.0,,,,5739,"Санкт-Петербург, город Зеленогорск, Круглая улица, дом 7, литера А","60.196200137,29.668216108"
Лабутина ул.,13,,"А,Б",Адмиралтейский,3 комн.,2,6,Индивидуальный,1917,1976,1280.2,1137.2,,2,4,49,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","7, 5, 5","7, 10, 15",,,,,444.0,16.03.2010,"ООО ""Жилкомсервис № 1 Адмиралтейского района""",0.0,2006; 2006; 2007; 2011; 2013,Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш,,551.0,,2,162.5,5740,"г.Санкт-Петербург, улица Лабутина, дом 13, литера А","59.918360821,30.292951062"
Салова ул.,24,,А,Фрунзенский,"3 комн., 4 комн.","2, 3","6, 12",Индивидуальный проект,1953,,3159.8,2377.59,188.1,4,4,113,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","10, 17, 10","10, 34, 30",1,,,,2886.0,16.03.2010,"ООО ""Жилкомсервис № 1 Фрунзенского района""",0.0,2006; 2012,Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш,,1146.0,,4,598.4,5741,"г.Санкт-Петербург, улица Салова, дом 24, литера А","59.897839953,30.368593014"
Садовая ул.,83,,Б,Адмиралтейский,"3 комн., 4 комн.","2, 1","6, 4",Индивидуальный,1863,1982,1190.4,1037.4,,1,6,44,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 3 комн., 4 комн.","3, 3, 3","3, 9, 12",,нет данных,,,521.0,19.04.2013,"ООО ""Жилкомсервис № 1 Адмиралтейского района""",0.0,2005; 2007; 2008; 2008,Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления,,420.0,1,1,202.0,5742,"г.Санкт-Петербург, Садовая улица, дом 83, литера Б","59.919655486,30.292606717"
Обуховской Обороны пр.,19,,А,Невский,"2 комн., 3 комн.","1, 7","2, 21",Индивидуальный,1938,,4472.6,3099.0,346.1,4,5,132,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","2, 16, 21","2, 32, 63",,1968г. - 4 шт.,2012,,7493.0,19.10.2010,"ООО ""Жилкомсервис № 2 Невского района""",0.0,2005; 2012; 2012; 2012,Ремонт конструкций и замена покрытий крыш; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения,,1337.0,4,4,689.0,5743,"г.Санкт-Петербург, проспект Обуховской Обороны, дом 19, литера А","59.916299424,30.401096587"
"27-я линия, В.О.",12,,А,Василеостровский,"2 комн., 3 комн.","1, 4","2, 12",Индивидуальный,1902,,1695.75,1372.25,88.5,1,5,184,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","1, 18, 3","1, 36, 9",2,,,,863.0,19.10.2010,"ООО "" УК ВОЗРОЖДЕНИЕ""",0.0,,,,521.0,,1,,5744,"г.Санкт-Петербург, 27-я линия В.О., дом 12, литера А","59.930501541,30.257303971"
Гатчинская ул.,2/54,,А,Петроградский,"2 комн., 3 комн., 5 комн., 6 комн.","2, 2, 2, 2","4, 6, 10, 12",Индивидуальный,1903,,4195.2,2850.9,866.6,4,6,124,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","12, 11","24, 33",9,,,,561.0,19.10.2010,"ООО ""Жилкомсервис № 2 Петроградского района""",0.0,2006; 2006; 2013; 2016,Благоустройство придомовой территории; Ремонт или замена системы отопления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы электроснабжения,,1495.0,,3,770.0,5745,"г.Санкт-Петербург, Гатчинская улица, дом 2/54, литера А","59.960462195,30.302905839"
Серебристый бульвар,6,1,А,Приморский,"2 комн., 3 комн., 4 комн.","3, 13, 1","6, 39, 4",ЛГ- 600 А,1974,,16162.6,14657.5,,8,9,831,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,"1 комн., 2 комн., 3 комн., 4 комн.","44, 95, 129, 1","44, 190, 387, 4",,1974,,,12513.0,19.10.2010,"ООО ""Жилкомсервис №3 Приморского района""",0.0,1991; 1991; 2003; 2004; 2004; 2004; 2007; 2009,Ремонт или замена системы отопления; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; разные виды работ/ремонт системы канализации; Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов; Ремонт или замена системы электроснабжения,8,,8,8,1935.0,5746,"г.Санкт-Петербург, Серебристый бульвар, дом 6, корпус 1, литера А","59.996841819,30.282605679"
Гатчинская ул.,6,,А,Петроградский,"3 комн., 4 комн., 5 комн., 6 комн.","7, 1, 4, 1","21, 4, 20, 6",Индивидуальный,1908,,2552.3,2136.3,109.0,4,5,95,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн.","2, 2, 6, 2","2, 4, 18, 8",1,,,,344.0,19.10.2010,"ООО ""Жилкомсервис № 2 Петроградского района""",0.0,1999; 2002; 2005; 2006; 2007; 2007; 2009; 2011; 2014; 2014; 2015; 2015; 2015,"Ремонт конструкций и замена покрытий крыш; АВКР; Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы отопления; АВКР; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа; Расходы на изготовление проектно-сметной документации; Ремонт конструкций и замена покрытий крыш; Расходы на изготовление проектно-сметной документации; Расходы на изготовление проектно-сметной документации; Разные работы; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения",,883.0,,3,376.0,5747,"г.Санкт-Петербург, Гатчинская улица, дом 6, литера А","59.960858577,30.30199123"
"Кадетская линия, В.О.",29,,А,Василеостровский,"3 комн., 4 комн., 5 комн., 6 комн., 7 комн.","2, 2, 2, 1, 3","6, 8, 10, 6, 25",Индивидуальный,1917,,3938.3,2479.05,992.7,5,3,107,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"3 комн., 4 комн., 5 комн.","6, 1, 1","18, 4, 5",11,,,,1621.0,19.10.2010,"ООО ""УК ""МИР""",0.0,,,,2392.0,,1,,5748,"г.Санкт-Петербург, Кадетская линия В.О., дом 29, литера А","59.946646009,30.28510465"
Пасторова ул.,6,,А,Адмиралтейский,"3 комн., 4 комн.","0, 2","0, 8",Индивидуальный,1836-1841,1948,1351.5,937.7,186.8,3,3,53,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн.","7, 2, 1","14, 6, 4",5,,,,243.0,21.05.2013,"ООО ""Жилкомсервис № 1 Адмиралтейского района""",0.0,2007; 2008; 2010; 2012; 2019; 2019; 2019,Благоустройство придомовой территории; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления,,844.0,,3,169.0,5749,"г.Санкт-Петербург, улица Пасторова, дом 6, литера А","59.92046825,30.29097399"
Чапыгина ул.,11,,А,Петроградский,7 комн.,6,54,Индивидуальный,1914,1979,2195.4,1463.4,433.1,2,7,111,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,,,,,2010,,,928.0,21.10.2013,"ООО ""Жилкомсервис № 1 Петроградского района""",0.0,,,,,1,,315.0,5750,"г.Санкт-Петербург, улица Чапыгина, дом 11, литера А","59.973406046,30.310709886"
Севастопольская ул.,48,,А,Кировский,2 комн.,1,2,Индивидуальный,1950,,710.8,459.4,48.1,1,3,25,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","2, 6, 1","2, 12, 3",,,,,1501.0,21.10.2013,"ГУПРЭП ""Строитель""",0.0,,,,307.0,,,176.4,5751,"г.Санкт-Петербург, Севастопольская улица, дом 48, литера А","59.888620819,30.264718077"
Полозова ул.,6/17,,А,Петроградский,"2 комн., 3 комн., 4 комн., 5 комн.","1, 2, 1, 4","2, 6, 4, 20",Индивидуальный,1910,,3936.6,2941.58,469.02,4,6,142,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн.","2, 16, 11, 1, 0, 1","2, 32, 33, 4, 0, 6",,Нет данных,2018,,326.0,21.10.2013,"ООО ""Жилкомсервис № 1 Петроградского района""",0.0,2005; 2006; 2007; 2007; 2012; 2015; 2018,Ремонт или замена системы отопления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы газоснабжения; Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов,,1568.8,1,4,287.0,5752,"г.Санкт-Петербург, Полозова улица, дом 6/17, литера А","59.962726478,30.304482942"
Лиговский пр.,71,,П,Центральный,"3 комн., 4 комн., 7 комн.","1, 10, 6","3, 40, 60",Индивидуальный,1911,,3428.7,2669.2,322.3,2,7,127,203.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 3 комн.","1, 1","1, 3",1,2 ед.-1968г.,2017 (2ед.),,277.0,21.10.2013,"ООО ""ЖКС Северо-запад""",0.0,,,,814.5,,2,322.2,5753,"г.Санкт-Петербург, Лиговский проспект, дом 71, литера П","59.926103775,30.356837373"
"15-я линия, В.О.",22,,Д,Василеостровский,2 комн.,1,2,Индивидуальный,1865,1955,477.3,330.3,45.6,1,4,20,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн.","5, 2","10, 6",1,,,,212.0,21.10.2013,"ООО "" УК ВОЗРОЖДЕНИЕ""",0.0,,,,169.0,,,,5754,"г.Санкт-Петербург, 15-я линия В.О., дом 22, литера Д","59.93808304,30.269958283"
Пионерская ул.,8,,А,Петроградский,4 комн.,1,4,Индивидуальный,1908,1998,2762.3,2283.1,199.2,2,7,62,,1,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","2, 12, 13","2, 24, 39",,2010г.,,,210.0,21.10.2013,"ООО ""Жилкомсервис № 2 Петроградского района""",0.0,2006; 2010; 2010; 2010; 2010; 2010,Ремонт или замена системы отопления; Капитальный ремонт лифтов (с заменой крупных узлов); Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш,,834.4,1,1,97.5,5755,"г.Санкт-Петербург, Пионерская улица, дом 8, литера А","59.955876337,30.294351361"
Невский пр.,166,,А,Центральный,"2 комн., 3 комн., 4 комн., 5 комн.","3, 5, 4, 1","6, 15, 16, 5",Индивидуальный,1881,1965,4364.92,3253.12,626.8,4,5,121,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"2 комн., 3 комн., 4 комн., 5 комн.","14, 10, 1, 1","28, 30, 4, 5",5,1972,,2007,1369.0,21.10.2013,"ООО ""Жилкомсервис № 3 Центрального района""",0.0,,,,1424.0,1,4,102.0,5756,"г.Санкт-Петербург, Невский проспект, дом 166, литера А","59.926699544,30.377496269"
Херсонская ул.,31,,А,Центральный,"2 комн., 3 комн.","1, 5","2, 15",Индивидуальный,1883,,1788.16,1522.16,25.0,2,4,62,,1,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,"1 комн., 2 комн., 3 комн.","3, 7, 7","3, 14, 21",2,,,,767.0,21.10.2013,"ООО ""Жилкомсервис № 3 Центрального района""",0.0,,,,769.0,,2,,5757,"г.Санкт-Петербург, Херсонская улица, дом 31, литера А","59.927889894,30.381570401"
